Username,Text,Created_at,Tweet_ID
Tacoboutcrypto,"@cardano_whale ""It has no central leadership""

Umm literally everybody in crypto knows his name.  This is why toxic maxis treat shitcoiners the way they do.",Tue Apr 29 15:32:37 +0000 2025,1917240614338400648
JJ.,"What's next for @AdaFinbyte?

â€¢ Cardano Chat - Extending our Forums logic to create a seamless chat
â€¢ Linktree alternative for Cardano users, creators and developers
â€¢ Possible team extension
â€¢ Smart Contract raffles
With more to be announced.

Any suggestions? Reply below ğŸ‘‡ğŸ¼",Tue Apr 29 15:32:34 +0000 2025,1917240602216878108
MJï½œé«˜é…å½“æ ªåˆ†æå®˜Heather Davis â¤ï¸ Memecoin,"Sorry for the spam ladies &amp; gentlemen, Trump's BOT no. cT7CqZ

âœ… $TRUMP Reward list 29 April: @Cardano_Maxi @AsahiOcean @nickmuffoletto @RunesFish @okankayakara 
ğŸ¤ 1 DAY LEFT TO CLAIM

ğŸ”— This boy has already claimed his airdrop: 
https://t.co/Ny8IW24Sg7",Tue Apr 29 15:31:55 +0000 2025,1917240439201317328
krypto drops9000ğŸ”º d/acc,"From global initiatives to niche community projects, DAOs on Cardano enable individuals to unite, collaborate, and redefine success. Whether funding climate action, advancing education, or building tech for underserved populations, the DAO revolution on Cardano starts with YOU!",Tue Apr 29 15:31:38 +0000 2025,1917240364877890023
The Crypto Reporter,"Hey @IagonOfficial @levvyfinance @therealdisasm @IOHK_Charles @rom1_pellerin @F_Gregaard @SLFMR1 + Cardano fam ğŸ‘‹

Back to podcastingâ€”with a vengeance.
 Cardano Boost: 5-min quickfire updates on your project.
Hit me up when youâ€™ve got newsâ€”record + drop same day. ğŸ™ï¸ğŸš€",Tue Apr 29 15:31:32 +0000 2025,1917240342019018806
Esso,"@OoEvilEyeoO @sharlhuskens @snek Snek, when memes were fun back in the days. The only Cardano meme i hold",Tue Apr 29 15:31:27 +0000 2025,1917240317755224481
TapTools,People who don't like #crypto just haven't discovered #Cardano yet.,Tue Apr 29 15:31:12 +0000 2025,1917240256337961027
CardanoForTheMâ‚³sses,"@blocksamurai @adahandle one 'i can aiken' sent, share your cover &amp; tag bookio and CF to say thanks",Tue Apr 29 15:31:12 +0000 2025,1917240255037763938
å–®è¦ªåª½åª½â€”â€”æ¬£è‹¥,"Sorry for the spam ladies &amp; gentlemen, Trump's BOT no. xY76d8

âœ… $TRUMP Reward list 29 April: @8888tkmt @luca_stx @Crypto__Cardano @AeonVault @Yourrappi939 
ğŸ¤ 1 DAY LEFT TO CLAIM

ğŸ”— This boy has already claimed his airdrop: 
https://t.co/ChXCHMcTUn",Tue Apr 29 15:30:41 +0000 2025,1917240126607888436
Edwin EarnPark,"@AltcoinDailyio Exactly, once they discover #Cardano, the next step is realizing the power of decentralized storage, and @evoload comes in. 

A decentralized storage solution powered by blockchain, designed for speed, scalability, and real-world utility. This one is worth exploring",Tue Apr 29 15:30:39 +0000 2025,1917240117577609677
Fox_Lick_Window,"@DexHunterIO Love to see the #RWA Cardano tokens pumping!!!

$BBSNEK and $PALM are next level. And I see them both being Top 10 Cardano tokens overall!!!

@BabySNEKtoken will 50x from here. https://t.co/sbrFbwkEnT",Tue Apr 29 15:30:22 +0000 2025,1917240046882611260
CardanoForTheMâ‚³sses,"@temasar_1 @adahandle one 'i can aiken' sent, share your cover &amp; tag bookio and CF to say thanks",Tue Apr 29 15:30:16 +0000 2025,1917240020815299024
Ski Mask Kat,@dixeflatline #facts Cardano the HW CHAMP! @IOHK_Charles https://t.co/OPxwOUY3xs,Tue Apr 29 15:30:15 +0000 2025,1917240018239995988
Riya - Cardano â‚³,Some really great responses! ğŸ‘‡,Tue Apr 29 15:30:08 +0000 2025,1917239989638775195
Ask Perplexity,"@FuturismProduct @lace_io @MidnightNtwrk @grok AI agents can definitely help spread the word about the Midnight airdrop and onboard users across Cardano, Lace, and Midnight by automating information sharing, answering questions, and guiding users through wallet setup and eligibility steps.

The Midnight airdrop-called the",Tue Apr 29 15:30:01 +0000 2025,1917239959452352982
Cswap Intern,"HIGHLIGHT: CARDANO'S ON-CHAIN ENERGY IS SURGING!

In just 7 days, according to @TapTools:
ğŸ”¹ Active addresses: +44%
ğŸ”¹ Trading volume: +92%

Something is brewing beneath the surface.
Are you positioned, or distracted? ğŸ‘€ https://t.co/h4fXmE2F0j",Tue Apr 29 15:30:01 +0000 2025,1917239957959123248
