,Username,Handle,Text,Created_at,Tweet_ID
0,bne IntelliNews,bneintellinews,El Salvador plays defiant game with IMF Bitcoin rules #bnl #LatinAmerica #ElSalvador #IMF #InternationalMonetaryFund #finance #crypto #tech #cryptocurrency #Bitcoin #bukele     https://t.co/L0VIWyCrQu https://t.co/qjIs4aeueu,Tue Apr 29 15:32:37 +0000 2025,1917240613205930119
1,"Airdrops, NFTS, Crypto, DEFI, Free Giveaways!",LiveNFTnews,"#bitcoin #etherum #cryptocurrency https://t.co/mF9cn9hMZT April 29, 2025 at 04:30PM",Tue Apr 29 15:32:35 +0000 2025,1917240604779516122
2,MONIE LOVE $XRP,lovesmonie,"ðŸš¨BREAKING: ðŸ‡ºðŸ‡¸ Trump Tax for Americans are coming. â€˜We're gonna cut taxes for the people of this country.â€™

Letâ€™s also treat capital gains on crypto as tax-free for Americans, ðŸ‡ºðŸ‡¸ MR. President Donald J. Trump!!

#tuesdayvibe #TrumpTax #crypto #cryptocurrency #digitalassets https://t.co/QGuJ8iUlIJ",Tue Apr 29 15:32:33 +0000 2025,1917240597867626819
3,Wendy Green,SusieSande27630,@RoundtableSpace Cryptocurrency has a way of blowing my mind on a daily basis,Tue Apr 29 15:32:09 +0000 2025,1917240495694098586
4,Suleiman,sulex_pm,"Not everyone can succeed in cryptocurrency or tech or even web3 
You have to find your strengths and know your emotional state before picking a niche to thrive on.",Tue Apr 29 15:31:58 +0000 2025,1917240450005553231
